country,district_code,district,centx,centy,year_month,year,month,ipc,ha,ndvi_mean,ndvi_anom,rain_mean,rain_anom,et_mean,et_anom,count_violence,sum_fatalities,food_price_idx,area,cropland_pct,pop,ruggedness_mean,pasture_pct,date
South Sudan,74,Bor,32.00486,6.465644,2007_01,2007,1,,,0.3458505,114.3253,0.2539026,-0.1072259,0.6712492,0.04887985,0,0,0.5613632,14008.33,7.961984,239344.0,11393.76,90.8503,2007-01-01
South Sudan,74,Bor,32.00486,6.465644,2007_02,2007,2,,,0.3076001,119.8153,1.018789,0.1339269,0.1291835,-0.4579281,0,0,0.5656933,14008.33,7.961984,239344.0,11393.76,90.8503,2007-02-01
South Sudan,74,Bor,32.00486,6.465644,2007_03,2007,3,,,0.2783435,110.38,2.001045,-2.164728,1.02546,-0.5901745,0,0,0.5924365,14008.33,7.961984,239344.0,11393.76,90.8503,2007-03-01
South Sudan,74,Bor,32.00486,6.465644,2007_04,2007,4,,,0.3033203,102.316,12.83114,-0.3328491,3.846809,-1.845536,0,0,0.6053516,14008.33,7.961984,239344.0,11393.76,90.8503,2007-04-01
South Sudan,74,Bor,32.00486,6.465644,2007_05,2007,5,,,0.4137161,97.1873,19.27432,0.2884662,8.316274,-2.972735,0,0,0.6186993,14008.33,7.961984,239344.0,11393.76,90.8503,2007-05-01
South Sudan,74,Bor,32.00486,6.465644,2007_06,2007,6,,,0.6327206,113.5582,19.10175,0.1612849,18.79482,1.762026,0,0,0.6547201,14008.33,7.961984,239344.0,11393.76,90.8503,2007-06-01
South Sudan,74,Bor,32.00486,6.465644,2007_07,2007,7,,,0.676931,108.6346,23.76274,0.3778775,26.32908,4.739519,0,0,0.6689112,14008.33,7.961984,239344.0,11393.76,90.8503,2007-07-01
South Sudan,74,Bor,32.00486,6.465644,2007_08,2007,8,,,0.6825173,106.8848,29.44295,5.468792,27.04539,4.267536,0,0,0.7070176,14008.33,7.961984,239344.0,11393.76,90.8503,2007-08-01
South Sudan,74,Bor,32.00486,6.465644,2007_09,2007,9,,,0.655295,104.5998,21.70541,-2.746676,19.3311,-0.9520965,0,0,0.7052855,14008.33,7.961984,239344.0,11393.76,90.8503,2007-09-01
South Sudan,74,Bor,32.00486,6.465644,2007_10,2007,10,,,0.5913128,97.64369,11.5033,-5.842758,16.46292,-2.062405,0,0,0.7186948,14008.33,7.961984,239344.0,11393.76,90.8503,2007-10-01
South Sudan,74,Bor,32.00486,6.465644,2007_11,2007,11,,,0.5375134,97.69115,10.70308,3.920487,11.68638,-1.048091,2,34,0.7057215,14008.33,7.961984,239344.0,11393.76,90.8503,2007-11-01
South Sudan,74,Bor,32.00486,6.465644,2007_12,2007,12,,,0.3723131,90.02061,0.5983503,-0.1833895,1.648393,-1.923172,0,0,0.7091217,14008.33,7.961984,239344.0,11393.76,90.8503,2007-12-01
South Sudan,74,Bor,32.00486,6.465644,2008_01,2008,1,,,0.2799375,92.53691,0.3558399,-0.005288634,0.6018618,-0.02050762,0,0,0.7361441,14008.33,7.961984,247988.7,11393.76,90.8503,2008-01-01
South Sudan,74,Bor,32.00486,6.465644,2008_02,2008,2,,,0.2309243,89.9488,0.6550944,-0.2297674,0.08479522,-0.5023164,1,0,0.7406653,14008.33,7.961984,247988.7,11393.76,90.8503,2008-02-01
South Sudan,74,Bor,32.00486,6.465644,2008_03,2008,3,,,0.2376568,94.24529,4.988573,0.8227997,1.051219,-0.5644157,0,0,0.7570189,14008.33,7.961984,247988.7,11393.76,90.8503,2008-03-01
South Sudan,74,Bor,32.00486,6.465644,2008_04,2008,4,,,0.3028443,102.1555,11.44155,-1.722431,6.306763,0.6144188,0,0,0.7748888,14008.33,7.961984,247988.7,11393.76,90.8503,2008-04-01
South Sudan,74,Bor,32.00486,6.465644,2008_05,2008,5,,,0.4742646,111.4109,14.28004,-4.705816,12.00706,0.7180461,0,0,0.7497654,14008.33,7.961984,247988.7,11393.76,90.8503,2008-05-01
South Sudan,74,Bor,32.00486,6.465644,2008_06,2008,6,,,0.5472182,98.2126,9.557213,-9.383248,16.45102,-0.5817747,0,0,0.7583132,14008.33,7.961984,247988.7,11393.76,90.8503,2008-06-01
South Sudan,74,Bor,32.00486,6.465644,2008_07,2008,7,,,0.6453948,103.5736,17.97883,-5.406026,18.249,-3.340564,0,0,0.7878165,14008.33,7.961984,247988.7,11393.76,90.8503,2008-07-01
South Sudan,74,Bor,32.00486,6.465644,2008_08,2008,8,,,0.6452651,101.0509,20.90245,-3.071709,20.5049,-2.272952,2,19,0.7518327,14008.33,7.961984,247988.7,11393.76,90.8503,2008-08-01
South Sudan,74,Bor,32.00486,6.465644,2008_09,2008,9,,,0.6124093,97.7543,20.68701,-3.765067,20.89656,0.6133641,0,0,0.7835271,14008.33,7.961984,247988.7,11393.76,90.8503,2008-09-01
South Sudan,74,Bor,32.00486,6.465644,2008_10,2008,10,,,0.6095538,100.6558,18.5452,1.19914,16.41789,-2.107441,0,0,0.8120882,14008.33,7.961984,247988.7,11393.76,90.8503,2008-10-01
South Sudan,74,Bor,32.00486,6.465644,2008_11,2008,11,,,0.540205,98.18033,4.201064,-2.581531,6.837251,-5.897221,0,0,0.8135643,14008.33,7.961984,247988.7,11393.76,90.8503,2008-11-01
South Sudan,74,Bor,32.00486,6.465644,2008_12,2008,12,,,0.4382146,105.9548,0.5708221,-0.2109176,1.016638,-2.554927,0,0,0.8253463,14008.33,7.961984,247988.7,11393.76,90.8503,2008-12-01
South Sudan,74,Bor,32.00486,6.465644,2009_01,2009,1,,,0.327792,108.3558,0.3941045,0.03205463,0.6904098,0.06804043,1,1,0.8119846,14008.33,7.961984,256618.0,11393.76,90.8503,2009-01-01
South Sudan,74,Bor,32.00486,6.465644,2009_02,2009,2,,,0.2741534,106.7873,1.08628,0.2011398,0.6468359,0.05972425,1,0,0.7893664,14008.33,7.961984,256618.0,11393.76,90.8503,2009-02-01
South Sudan,74,Bor,32.00486,6.465644,2009_03,2009,3,,,0.2551656,101.388,2.463019,-1.719131,2.397876,0.8041208,2,2,0.7829695,14008.33,7.961984,256618.0,11393.76,90.8503,2009-03-01
South Sudan,74,Bor,32.00486,6.465644,2009_04,2009,4,,,0.4468311,150.5771,20.58571,7.421724,12.46824,6.831872,2,3,0.834251,14008.33,7.961984,256618.0,11393.76,90.8503,2009-04-01
South Sudan,74,Bor,32.00486,6.465644,2009_05,2009,5,,,0.4938817,116.0193,8.197217,-10.78864,17.63135,6.342342,0,0,0.9858418,14008.33,7.961984,256618.0,11393.76,90.8503,2009-05-01
South Sudan,74,Bor,32.00486,6.465644,2009_06,2009,6,,,0.456028,81.84614,11.38795,-7.552515,15.44914,-1.583656,0,0,1.080597,14008.33,7.961984,256618.0,11393.76,90.8503,2009-06-01
South Sudan,74,Bor,32.00486,6.465644,2009_07,2009,7,2.0,,0.5155502,82.73602,13.68619,-9.698671,14.02767,-7.561892,0,0,1.098674,14008.33,7.961984,256618.0,11393.76,90.8503,2009-07-01
South Sudan,74,Bor,32.00486,6.465644,2009_08,2009,8,,,0.6356943,99.55211,11.40786,-12.5663,17.72528,-5.052566,3,57,1.171685,14008.33,7.961984,256618.0,11393.76,90.8503,2009-08-01
South Sudan,74,Bor,32.00486,6.465644,2009_09,2009,9,,,0.6419968,102.4771,22.09833,-2.353753,20.24093,-0.04226441,1,6,1.194245,14008.33,7.961984,256618.0,11393.76,90.8503,2009-09-01
South Sudan,74,Bor,32.00486,6.465644,2009_10,2009,10,2.0,,0.606967,100.2287,11.13094,-6.215118,18.34797,-0.1773589,1,7,1.185251,14008.33,7.961984,256618.0,11393.76,90.8503,2009-10-01
South Sudan,74,Bor,32.00486,6.465644,2009_11,2009,11,,,0.4723715,85.85184,2.31489,-4.467705,7.499793,-5.23468,1,11,1.197838,14008.33,7.961984,256618.0,11393.76,90.8503,2009-11-01
South Sudan,74,Bor,32.00486,6.465644,2009_12,2009,12,,,0.3093003,74.7849,0.9304437,0.1487039,2.397086,-1.17448,3,22,1.205884,14008.33,7.961984,256618.0,11393.76,90.8503,2009-12-01
South Sudan,74,Bor,32.00486,6.465644,2010_01,2010,1,1.0,,0.2535015,83.79816,0.2931342,-0.06891564,0.1679761,-0.4543933,0,0,1.238529,14008.33,7.961984,265263.0,11393.76,90.8503,2010-01-01
South Sudan,74,Bor,32.00486,6.465644,2010_02,2010,2,,,0.220465,85.87476,1.40663,0.5214898,0.5844359,-0.002675717,0,0,1.262956,14008.33,7.961984,265263.0,11393.76,90.8503,2010-02-01
South Sudan,74,Bor,32.00486,6.465644,2010_03,2010,3,,,0.2185806,86.8513,3.486286,-0.6958632,0.7098744,-0.8838806,0,0,1.293821,14008.33,7.961984,265263.0,11393.76,90.8503,2010-03-01
South Sudan,74,Bor,32.00486,6.465644,2010_04,2010,4,2.0,,0.2275614,76.68565,7.614567,-5.549418,1.413454,-4.22291,0,0,1.292882,14008.33,7.961984,265263.0,11393.76,90.8503,2010-04-01
South Sudan,74,Bor,32.00486,6.465644,2010_05,2010,5,,,0.3382095,79.44981,23.36373,4.377874,10.13869,-1.150318,1,1,1.262869,14008.33,7.961984,265263.0,11393.76,90.8503,2010-05-01
South Sudan,74,Bor,32.00486,6.465644,2010_06,2010,6,,,0.5078212,91.14177,16.84291,-2.09755,15.03172,-2.001075,4,17,1.250079,14008.33,7.961984,265263.0,11393.76,90.8503,2010-06-01
South Sudan,74,Bor,32.00486,6.465644,2010_07,2010,7,2.0,,0.5923244,95.05682,32.51312,9.128263,19.93449,-1.655068,0,0,1.251864,14008.33,7.961984,265263.0,11393.76,90.8503,2010-07-01
South Sudan,74,Bor,32.00486,6.465644,2010_08,2010,8,,,0.6313306,98.86874,26.72625,2.752095,21.86967,-0.9081779,0,0,1.254549,14008.33,7.961984,265263.0,11393.76,90.8503,2010-08-01
South Sudan,74,Bor,32.00486,6.465644,2010_09,2010,9,,,0.6427058,102.5903,34.31896,9.866874,21.81356,1.530363,0,0,1.304488,14008.33,7.961984,265263.0,11393.76,90.8503,2010-09-01
South Sudan,74,Bor,32.00486,6.465644,2010_10,2010,10,2.0,,0.641986,106.0114,19.63301,2.286952,20.85407,2.328747,0,0,1.278539,14008.33,7.961984,265263.0,11393.76,90.8503,2010-10-01
South Sudan,74,Bor,32.00486,6.465644,2010_11,2010,11,,,0.6182626,112.367,7.372652,0.5900571,14.70795,1.973482,0,0,1.264122,14008.33,7.961984,265263.0,11393.76,90.8503,2010-11-01
South Sudan,74,Bor,32.00486,6.465644,2010_12,2010,12,,,0.5129991,124.0367,0.6800245,-0.1017152,4.600264,1.028698,3,20,1.254559,14008.33,7.961984,265263.0,11393.76,90.8503,2010-12-01
South Sudan,74,Bor,32.00486,6.465644,2011_01,2011,1,1.0,,0.3916366,129.4605,0.2438882,-0.1181617,1.23314,0.6107702,1,0,1.266479,14008.33,7.961984,271467.0,11393.76,90.8503,2011-01-01
South Sudan,74,Bor,32.00486,6.465644,2011_02,2011,2,,,0.2942942,114.6324,0.8363938,-0.04874679,0.7104549,0.1233433,5,200,1.2573,14008.33,7.961984,271467.0,11393.76,90.8503,2011-02-01
South Sudan,74,Bor,32.00486,6.465644,2011_03,2011,3,,,0.2818355,111.9851,3.717011,-0.4651382,1.38438,-0.2093754,5,0,1.244473,14008.33,7.961984,271467.0,11393.76,90.8503,2011-03-01
South Sudan,74,Bor,32.00486,6.465644,2011_04,2011,4,1.0,,0.2873098,96.8202,7.712567,-5.451418,11.1675,5.531131,2,161,1.253839,14008.33,7.961984,271467.0,11393.76,90.8503,2011-04-01
South Sudan,74,Bor,32.00486,6.465644,2011_05,2011,5,,,0.3782806,88.86306,20.41666,1.430811,11.92006,0.6310521,0,0,1.28987,14008.33,7.961984,271467.0,11393.76,90.8503,2011-05-01
South Sudan,74,Bor,32.00486,6.465644,2011_06,2011,6,,,0.5951636,106.8176,21.16102,2.220554,19.20317,2.170376,0,0,1.329476,14008.33,7.961984,271467.0,11393.76,90.8503,2011-06-01
South Sudan,74,Bor,32.00486,6.465644,2011_07,2011,7,2.0,,0.688878,110.5518,25.09263,1.707771,27.22566,5.636096,0,0,1.376833,14008.33,7.961984,271467.0,11393.76,90.8503,2011-07-01
